term,tf,idf,tf_idf
biat,1,9.837828403729853,9.837828403729853
bukti,1,6.124256337025546,6.124256337025546
eror,2,3.273972877197726,6.547945754395452
mudah,1,1.9811216106340133,1.9811216106340133
sehat,1,3.597552558559084,3.597552558559084
bantu,1,1.8754127236087899,1.8754127236087899
bintang,1,4.8271931096335985,4.8271931096335985
antri,1,3.258577191719753,3.258577191719753
mudah,1,1.9811216106340133,1.9811216106340133
layan,2,2.838405936221893,5.676811872443786
bagus,1,2.038895093688637,2.038895093688637
tunggu,1,4.399749094806658,4.399749094806658
rubah,1,5.174389309617787,5.174389309617787
status,1,6.174266757600208,6.174266757600208
alamat,1,6.124256337025546,6.124256337025546
proses,1,4.2138108975425155,4.2138108975425155
cepat,1,3.292478743395434,3.292478743395434
ok,1,3.1457446612232256,3.1457446612232256
sulit,1,3.1746957077390507,3.1746957077390507
tua,1,5.033807358996597,5.033807358996597
gaptek,1,6.579731865708371,6.579731865708371
repot,1,5.050336660947807,5.050336660947807
bagus,1,2.038895093688637,2.038895093688637
mudah,1,1.9811216106340133,1.9811216106340133
mantul,1,6.0536387698115925,6.0536387698115925
pokoe,1,9.837828403729853,9.837828403729853
minggu,1,5.305228910576598,5.305228910576598
susah,1,2.5326401883368166,2.5326401883368166
lupa,1,3.864018791860593,3.864018791860593
hemat,1,7.352921753941853,7.352921753941853
antri,1,3.258577191719753,3.258577191719753
mudah,1,1.9811216106340133,1.9811216106340133
urus,1,4.847395816951118,4.847395816951118
terimakasih,1,3.5370426090666096,3.5370426090666096
respon,1,5.326968897213003,5.326968897213003
cepat,1,3.292478743395434,3.292478743395434
layan,1,2.838405936221893,2.838405936221893
mantap,1,2.6426410835511454,2.6426410835511454
ubah,1,3.9243253980915838,3.9243253980915838
alamat,1,6.124256337025546,6.124256337025546
induk,1,7.640603826393634,7.640603826393634
buruk,1,4.430656632269735,4.430656632269735
antri,1,3.258577191719753,3.258577191719753
sampah,1,4.840616129965738,4.840616129965738
bantu,1,1.8754127236087899,1.8754127236087899
difaskes,1,8.739216115061744,8.739216115061744
alas,1,5.443379249057415,5.443379249057415
kuota,2,5.533763310525684,11.067526621051368
penuh,1,5.812476712994704,5.812476712994704
web,1,6.9474566458336895,6.9474566458336895
batas,1,5.987680802019796,5.987680802019796
salah,1,3.5897855292214245,3.5897855292214245
maaf,1,5.155697176605634,5.155697176605634
kasih,1,3.776371484801837,3.776371484801837
bintang,1,4.8271931096335985,4.8271931096335985
eror,1,3.273972877197726,3.273972877197726
mulu,1,4.0916252131897,4.0916252131897
pajang,1,9.144681223169908,9.144681223169908
doang,1,5.222707886888594,5.222707886888594
bantu,1,1.8754127236087899,1.8754127236087899
tingkat,1,4.549561373035319,4.549561373035319
performa,1,7.758386862050018,7.758386862050018
terimakasih,1,3.5370426090666096,3.5370426090666096
mudah,1,1.9811216106340133,1.9811216106340133
praktis,1,5.050336660947807,5.050336660947807
simple,1,5.812476712994704,5.812476712994704
ok,1,3.1457446612232256,3.1457446612232256
tahan,1,6.148948949615917,6.148948949615917
terimakasih,1,3.5370426090666096,3.5370426090666096
bantu,1,1.8754127236087899,1.8754127236087899
mantap,1,2.6426410835511454,2.6426410835511454
mudah,1,1.9811216106340133,1.9811216106340133
best,1,6.009187007240759,6.009187007240759
solusi,1,5.042037858133113,5.042037858133113
terselesaikansukses,1,9.837828403729853,9.837828403729853
keren,1,4.5803330317020725,4.5803330317020725
bantu,1,1.8754127236087899,1.8754127236087899
terimakasih,1,3.5370426090666096,3.5370426090666096
alhamdulillah,1,4.340660178436652,4.340660178436652
kartu,1,4.978015999368181,4.978015999368181
kepala,1,6.746785950371538,6.746785950371538
ecek,1,6.842096130175863,6.842096130175863
periksa,1,4.985798139810236,4.985798139810236
kagak,1,5.455801769055972,5.455801769055972
haduh,1,7.758386862050018,7.758386862050018
bagus,1,2.038895093688637,2.038895093688637
alhamdulillah,1,4.340660178436652,4.340660178436652
bantu,1,1.8754127236087899,1.8754127236087899
scan,1,6.254309465273744,6.254309465273744
wajah,1,4.167947480749334,4.167947480749334
gagal,1,3.8119624299045394,3.8119624299045394
maaf,1,5.155697176605634,5.155697176605634
sesuai,1,4.622892646120868,4.622892646120868
hapus,1,5.203099415500218,5.203099415500218
cache,1,8.451534042609962,8.451534042609962
lupa,1,3.864018791860593,3.864018791860593
terima,1,4.101256106250662,4.101256106250662
balas,1,7.1297782026276435,7.1297782026276435
solusi,1,5.042037858133113,5.042037858133113
thx,1,8.046068934501799,8.046068934501799
bantu,1,1.8754127236087899,1.8754127236087899
bagus,1,2.038895093688637,2.038895093688637
bagus,1,2.038895093688637,2.038895093688637
bantu,1,1.8754127236087899,1.8754127236087899
muas,1,4.539511037181817,4.539511037181817
mudah,2,1.9811216106340133,3.9622432212680265
moga,1,4.101256106250662,4.101256106250662
sukses,1,5.830495218497383,5.830495218497383
ok,1,3.1457446612232256,3.1457446612232256
mantap,1,2.6426410835511454,2.6426410835511454
solusi,1,5.042037858133113,5.042037858133113
dukung,1,6.470532573743379,6.470532573743379
bicara,2,7.065239681490072,14.130479362980145
call,3,5.886584685148426,17.659754055445276
center,3,6.031165913959534,18.093497741878604
bilang,1,4.8271931096335985,4.8271931096335985
suara,2,7.352921753941853,14.705843507883706
dengar,1,7.640603826393634,7.640603826393634
kait,1,6.541991537725525,6.541991537725525
rujuk,1,4.633821716653058,4.633821716653058
syarat,1,7.004615059673638,7.004615059673638
beda,2,5.383481107476346,10.766962214952692
sulit,1,3.1746957077390507,3.1746957077390507
terimakasih,1,3.5370426090666096,3.5370426090666096
mudah,1,1.9811216106340133,1.9811216106340133
sehat,1,3.597552558559084,3.597552558559084
bagus,1,2.038895093688637,2.038895093688637
hemat,1,7.352921753941853,7.352921753941853
efisien,1,5.618320698553747,5.618320698553747
layan,1,2.838405936221893,2.838405936221893
cepat,1,3.292478743395434,3.292478743395434
mudah,1,1.9811216106340133,1.9811216106340133
proses,1,4.2138108975425155,4.2138108975425155
mudah,1,1.9811216106340133,1.9811216106340133
skrining,1,6.031165913959534,6.031165913959534
mudah,1,1.9811216106340133,1.9811216106340133
praktis,1,5.050336660947807,5.050336660947807
bagus,1,2.038895093688637,2.038895093688637
ok,1,3.1457446612232256,3.1457446612232256
mantap,1,2.6426410835511454,2.6426410835511454
mudah,1,1.9811216106340133,1.9811216106340133
bagus,1,2.038895093688637,2.038895093688637
pengunaannya,1,9.837828403729853,9.837828403729853
mudah,1,1.9811216106340133,1.9811216106340133
mudah,1,1.9811216106340133,1.9811216106340133
antri,2,3.258577191719753,6.517154383439506
tinggal,1,5.533763310525684,5.533763310525684
lumayan,1,5.455801769055972,5.455801769055972
bantu,1,1.8754127236087899,1.8754127236087899
nice,1,5.8488443571655795,5.8488443571655795
bagus,1,2.038895093688637,2.038895093688637
mudah,1,1.9811216106340133,1.9811216106340133
bantu,1,1.8754127236087899,1.8754127236087899
user,1,6.436631022067698,6.436631022067698
friendly,1,6.893389424563414,6.893389424563414
mantap,1,2.6426410835511454,2.6426410835511454
bantu,1,1.8754127236087899,1.8754127236087899
ok,1,3.1457446612232256,3.1457446612232256
call,1,5.886584685148426,5.886584685148426
